dispute_id,transaction_id,transaction_amount_inr,days_since_transaction,dispute_reason_code,merchant_category,customer_account_age_days,previous_dispute_count,delivery_proof_available,tracking_number_valid,signature_confirmation,delivery_confirmed_before_dispute,avs_match,cvv_match,ip_device_match,customer_account_age_norm,customer_communication_count,customer_communication_sentiment,refund_policy_disclosed_at_purchase,product_photos_available,duplicate_transaction_exists,refund_already_processed,refund_processed_before_dispute,subscription_cancellation_confirmed,evidence_completeness_score,win_probability_true,won
DSP100000,TXN200000,5588.3,103,duplicate_charge,retail,260,0.0,0,0,0,0,0,1,0,0.13,4.0,0.15,0,0,1,1,0,0,0.25,0.7599,0
DSP100001,TXN200001,7818.45,39,item_not_received,subscription,1090,0.0,0,1,0,0,1,0,1,0.545,0.0,0.26,0,0,0,1,0,0,0.333,0.0649,0
DSP100002,TXN200002,1863.99,98,credit_not_processed,digital_goods,1237,0.0,1,1,0,0,0,1,1,0.6185,4.0,-0.78,1,0,1,0,0,0,0.5,0.0889,0
DSP100003,TXN200003,392.47,15,duplicate_charge,subscription,1595,1.0,1,0,0,0,0,1,0,0.7975,0.0,-0.16,1,0,0,0,0,0,0.25,0.1142,0
DSP100004,TXN200004,7883.47,16,fraud,food_delivery,1705,0.0,0,0,0,0,0,0,1,0.8525,1.0,-0.32,0,1,1,0,0,0,0.25,0.1102,0
DSP100005,TXN200005,483.89,2,subscription_cancelled,digital_goods,1306,0.0,1,1,0,0,1,1,0,0.653,0.0,0.08,1,0,0,1,1,0,0.583,0.0388,0
DSP100006,TXN200006,1878.0,15,duplicate_charge,travel,24,0.0,1,0,0,0,0,0,0,0.012,2.0,0.26,1,0,1,0,1,1,0.417,0.7255,1
DSP100007,TXN200007,1036.15,73,credit_not_processed,retail,993,0.0,1,1,0,0,1,1,1,0.4965,1.0,0.15,0,0,0,0,0,0,0.417,0.0631,0
DSP100008,TXN200008,870.77,11,fraud,subscription,413,1.0,0,0,0,1,0,1,1,0.2065,0.0,0.29,1,1,0,0,0,0,0.333,0.1153,0
DSP100009,TXN200009,2876.42,74,item_not_received,digital_goods,37,0.0,1,1,0,0,0,1,1,0.0185,2.0,-0.43,1,1,0,0,0,1,0.583,0.6864,0
DSP100010,TXN200010,1710.36,72,item_not_received,travel,1847,1.0,1,1,0,0,0,0,1,0.9235,0.0,-0.15,1,0,0,0,1,0,0.417,0.6479,0
DSP100011,TXN200011,2237.78,29,subscription_cancelled,retail,333,0.0,0,0,0,0,0,0,0,0.1665,2.0,0.35,1,0,1,0,0,0,0.167,0.0357,0
DSP100012,TXN200012,592.48,5,not_as_described,travel,491,1.0,1,1,0,0,0,0,1,0.2455,1.0,0.24,1,0,0,0,0,0,0.333,0.1117,0
DSP100013,TXN200013,1125.44,20,credit_not_processed,travel,673,0.0,0,0,0,0,0,1,0,0.3365,2.0,-0.84,0,1,1,1,0,1,0.417,0.3865,0
